Founder,Company / Project,Description,Founded,Valuation / Status
Steve Jobs,Apple,"Co-founded Apple, driving personal computing and later the iPhone and iPad era",1976,Public – ~$3.0T
Steve Wozniak,Apple,Co-founded Apple and engineered the early Apple I and Apple II computers,1976,Public – ~$3.0T
Bill Gates,Microsoft,"Co-founded Microsoft, standardizing PC operating systems and productivity software",1975,Public – ~$3.8T
Paul Allen,Microsoft,Co-founded Microsoft and helped launch the PC software industry,1975,Public – ~$3.8T
Larry Page,Google (Alphabet),"Co-founded Google, building a dominant search and online ads business",1998,Public – ~$2.9T
Sergey Brin,Google (Alphabet),"Co-founded Google, focusing on search, ads, and special projects",1998,Public – ~$2.9T
Jeff Bezos,Amazon,"Founded Amazon, expanding from e-commerce into cloud and logistics",1994,Public – ~$2.5T
Mark Zuckerberg,Meta Platforms (Facebook),"Founded Facebook, creating a global social network and ads platform",2004,Public – ~$1.6T
Elon Musk,Tesla,"Led Tesla, popularizing electric vehicles and energy storage",2003,Public – ~$1.4T
Larry Ellison,Oracle,"Co-founded Oracle, a leading enterprise database and cloud company",1977,Public – ~$430B
Michael Dell,Dell Technologies,"Founded Dell, pioneering direct-to-consumer PCs and later enterprise IT",1984,Public – ~$90B
Gordon Moore,Intel,Co-founded Intel and articulated Moore's Law for semiconductor progress,1968,Public – ~$200B
Robert Noyce,Intel,Co-founded Intel and helped invent the integrated circuit,1968,Public – ~$200B
Bill Hewlett,Hewlett-Packard,"Co-founded HP, an early Silicon Valley electronics and computing firm",1939,Public – ~$65B combined
Dave Packard,Hewlett-Packard,Co-founded HP and helped shape modern Silicon Valley corporate culture,1939,Public – ~$65B combined
Akio Morita,Sony,"Co-founded Sony, a global consumer electronics and media company",1946,Public – ~$120B
Masaru Ibuka,Sony,"Co-founded Sony, driving post-war electronics innovation",1946,Public – ~$120B
Morris Chang,TSMC,"Founded TSMC, pioneering the pure-play semiconductor foundry model",1987,Public – ~$850B
Jensen Huang,Nvidia,"Co-founded Nvidia, leading GPUs from graphics to AI computing",1993,Public – ~$4.4T
Chris Malachowsky,Nvidia,Co-founded Nvidia and worked on early GPU architectures,1993,Public – ~$4.4T
Curtis Priem,Nvidia,Co-founded Nvidia and contributed to early graphics technology,1993,Public – ~$4.4T
Jerry Sanders,AMD,"Founded AMD, competing in CPUs, GPUs, and semiconductors",1969,Public – ~$300B
Tim Berners-Lee,World Wide Web / W3C,Invented the World Wide Web and founded the W3C standards body,1989,Standards body / web – ~$0
Vint Cerf,Internet (TCP/IP),Co-designed the TCP/IP protocols foundational to the modern internet,1970,Protocol/standard – ~$0
Linus Torvalds,Linux,"Created the Linux kernel, widely used in servers, mobile, and cloud",1991,Open-source ecosystem – ~$0
Dennis Ritchie,Unix / C,Co-created the Unix operating system and the C programming language,1969,No standalone valuation – ~$0
Ken Thompson,Unix,"Co-created the Unix operating system, shaping modern OS design",1969,No standalone valuation – ~$0
James Gosling,Java (Sun Microsystems),Created the Java programming language at Sun Microsystems,1995,Part of Oracle – est. included in ~$430B
Guido van Rossum,Python,"Created the Python programming language, now key in AI and data science",1991,Open-source ecosystem – ~$0
Brendan Eich,JavaScript / Mozilla,Created JavaScript and co-founded Mozilla,1995,Open standard / foundation – ~$0
Bjarne Stroustrup,C++,"Created C++, a widely-used systems programming language",1985,Open standard – ~$0
Marc Benioff,Salesforce,"Founded Salesforce, a leading cloud-based CRM and SaaS platform",1999,Public – ~$300B
Diane Greene,VMware,"Co-founded VMware, pioneering server virtualization",1998,Acquired – $69B (2023)
Reed Hastings,Netflix,"Co-founded Netflix, transforming media with subscription streaming",1997,Public – ~$300B
Marc Randolph,Netflix,Co-founded Netflix and shaped its early product and brand,1997,Public – ~$300B
Jeff Lawson,Twilio,"Founded Twilio, providing communications APIs for developers",2008,Public – ~$20B
Stewart Butterfield,Slack,"Co-founded Slack, a workplace messaging platform",2013,Acquired – $27.7B
Daniel Dines,UiPath,"Founded UiPath, a leader in robotic process automation software",2005,Public – ~$30B
Ryan Smith,Qualtrics,"Co-founded Qualtrics, an experience-management software company",2002,Acquired – $8B
Pierre Omidyar,eBay,"Founded eBay, an early online auction and marketplace platform",1995,Public – ~$35B
Jerry Yang,Yahoo,"Co-founded Yahoo, an early web portal and search company",1994,Acquired – $4.5B
David Filo,Yahoo,"Co-founded Yahoo, an early web portal and search company",1994,Acquired – $4.5B
Brian Chesky,Airbnb,"Co-founded Airbnb, a global home-sharing and experiences marketplace",2008,Public – ~$110B
Joe Gebbia,Airbnb,"Co-founded Airbnb, a global home-sharing and experiences marketplace",2008,Public – ~$110B
Nathan Blecharczyk,Airbnb,"Co-founded Airbnb, serving as technical co-founder and early CTO",2008,Public – ~$110B
Travis Kalanick,Uber,"Co-founded Uber, popularizing ride-hailing via smartphone apps",2009,Public – ~$180B
Garrett Camp,Uber,"Co-founded Uber, and previously founded StumbleUpon",2009,Public – ~$180B
Reid Hoffman,LinkedIn,"Founded LinkedIn, a professional social networking platform",2002,Acquired – $26.2B
Drew Houston,Dropbox,"Co-founded Dropbox, a cloud file-sync and collaboration service",2007,Public – ~$12B
Arash Ferdowsi,Dropbox,"Co-founded Dropbox, a cloud file-sync and collaboration service",2007,Public – ~$12B
Daniel Ek,Spotify,"Co-founded Spotify, a global music streaming service",2006,Public – ~$90B
Martin Lorentzon,Spotify,"Co-founded Spotify, focusing on growth and advertising",2006,Public – ~$90B
Evan Spiegel,Snap,"Co-founded Snap, focusing on ephemeral messaging and AR lenses",2011,Public – ~$30B
Bobby Murphy,Snap,Co-founded Snap and served as technical leader,2011,Public – ~$30B
Jan Koum,WhatsApp,"Co-founded WhatsApp, a global encrypted messaging app",2009,Acquired – $19B
Brian Acton,WhatsApp,Co-founded WhatsApp and later co-founded the Signal Foundation,2009,Acquired – $19B
Jack Dorsey,Twitter (X),"Co-founded Twitter, a real-time microblogging platform",2006,Acquired – $44B
Biz Stone,Twitter (X),"Co-founded Twitter, helping shape early blogging and social tools",2006,Acquired – $44B
Noah Glass,Twitter (X),Early co-founder of Twitter and helped name and conceptualize the service,2006,Acquired – $44B
Kevin Systrom,Instagram,"Co-founded Instagram, a mobile photo-sharing social network",2010,Acquired – $1B
Mike Krieger,Instagram,"Co-founded Instagram, leading engineering and product",2010,Acquired – $1B
Evan Williams,Blogger,"Founded Blogger, helping popularize online publishing",1999,Acquired – est. ~$20M
Jack Ma,Alibaba Group,"Founded Alibaba, a Chinese e-commerce and cloud conglomerate",1999,Public – ~$220B
Pony Ma,Tencent,"Founded Tencent, a Chinese social media, gaming, and payments giant",1998,Public – ~$450B
